job_id,degree,bipartite_degree_centrality,pagerank,is_isolate,component_size,community_global,community_size
J_000223,31,0.0031,0.00016800117972736787,0,1505,7,1505
J_000224,35,0.0035,0.0002119212054862966,0,1550,5,1550
J_000225,31,0.0031,0.00016896114795352432,0,3102,1,1571
J_000226,34,0.0034,0.0001986141528173418,0,1562,3,1562
J_000227,32,0.0032,0.0001865953422487857,0,1562,3,1562
J_000228,31,0.0031,0.00018641814775444224,0,1628,0,1628
J_000229,34,0.0034,0.00020200641485996912,0,1628,0,1628
J_000230,34,0.0034,0.00018945320169190788,0,1559,4,1559
J_000231,30,0.003,0.0001882463977790841,0,1628,0,1628
J_000232,32,0.0032,0.00017265722957726602,0,3102,1,1571
J_000233,30,0.003,0.0001807678635194437,0,1562,3,1562
J_000234,31,0.0031,0.00018573072938345942,0,1562,3,1562
J_000235,31,0.0031,0.00017001965857405454,0,1505,7,1505
J_000236,35,0.0035,0.00020705098626906836,0,1550,5,1550
J_000237,32,0.0032,0.00017870573055981133,0,3102,1,1571
J_000238,34,0.0034,0.00019856212619828465,0,1628,0,1628
J_000239,32,0.0032,0.0001879461003583932,0,1628,0,1628
J_000240,31,0.0031,0.00018737507301774968,0,1559,4,1559
J_000241,31,0.0031,0.0001697755003012619,0,1505,7,1505
J_000242,33,0.0033,0.00018177019577845567,0,1505,7,1505
J_000243,34,0.0034,0.00020119721157414288,0,1550,5,1550
J_000244,31,0.0031,0.00019652367674312065,0,1562,3,1562
J_000245,32,0.0032,0.00017102659729110602,0,1505,7,1505
J_000246,30,0.003,0.00020512276648058253,0,1565,2,1565
J_000247,32,0.0032,0.0001847471536366612,0,1559,4,1559
J_000248,33,0.0033,0.00018114968709140054,0,3102,1,1571
J_000249,31,0.0031,0.00017835168113018458,0,3102,6,1531
J_000250,31,0.0031,0.00017095822874683368,0,1505,7,1505
J_000251,32,0.0032,0.00020548906007443945,0,1550,5,1550
J_000252,31,0.0031,0.0001884280198428739,0,1628,0,1628
J_000253,30,0.003,0.00019406471901333068,0,1565,2,1565
J_000254,32,0.0032,0.00021098604051396393,0,1565,2,1565
J_000255,33,0.0033,0.0001829271008431554,0,1505,7,1505
J_000256,31,0.0031,0.00017953863398027475,0,1559,4,1559
J_000257,31,0.0031,0.00017435032242921962,0,3102,1,1571
J_000258,32,0.0032,0.00020435842025759104,0,1628,0,1628
J_000259,32,0.0032,0.00020913010191422472,0,3102,1,1571
J_000260,32,0.0032,0.00020389221385678325,0,1628,0,1628
J_000261,33,0.0033,0.00022166136382281254,0,1565,2,1565
J_000262,33,0.0033,0.00019114149761710955,0,3102,6,1531
J_000263,31,0.0031,0.00018387153258885475,0,1559,4,1559
J_000264,31,0.0031,0.0001803024228183701,0,1505,7,1505
